IP,GUID,Fairshots
156.199.127.217,,
156.204.155.183,,
197.42.24.80,,
156.205.124.24,56b6c,"[(u'56b6c', u'pCSWORD', u'89.34.97.158:27015', u'1476625361', u'%60pC%2ASWORD.'), (u'56b6c', u'pCSWORD', u'89.34.97.158:27015', u'1476624529', u'%60pC%2ASWORD.'), (u'56b6c', u'pCSWORD', u'89.34.97.158:27015', u'1476624280', u'%60pC%2ASWORD.'), (u'56b6c', u'pCSWORD', u'89.34.97.158:27015', u'1476624089', u'%60pC%2ASWORD.'), (u'56b6c', u'pCSWORD', u'89.34.97.158:27015', u'1476269167', u'%60pC%2ASWORD.'), (u'56b6c', u'pCSWORD', u'89.34.97.158:27015', u'1476268618', u'%60pC%2ASWORD.')]"
177.228.89.7,,
41.233.226.173,,
41.45.99.193,,
114.77.32.129,f1e63,[]
185.17.205.157,,
156.205.58.28,,
79.188.199.125,bb685,"[(u'bb685', u'seta', u'79.137.85.74:20105', u'1492625453', u'seta'), (u'bb685', u'seta', u'79.137.85.74:20105', u'1492625301', u'seta'), (u'bb685', u'rem', u'79.137.85.74:20105', u'1491512416', u'rem'), (u'bb685', u'pokemon', u'79.137.85.74:20105', u'1490392828', u'pokemon'), (u'bb685', u'MRCHeeF', u'79.137.85.74:20105', u'1490288058', u'MR.CHeeF'), (u'bb685', u'MRCHeeF', u'79.137.85.74:20105', u'1490221389', u'MR.CHeeF')]"
41.35.81.250,c3431,"[(u'c3431', u'Bloodless', u'213.163.68.175:20100', u'1426454438', u'Bloodless'), (u'c3431', u'Copa', u'213.163.68.175:20100', u'1425816836', u'Copa'), (u'c3431', u'Copa', u'213.163.68.175:20100', u'1425816696', u'Copa'), (u'c3431', u'Copa', u'84.44.138.37:20100', u'1425511622', u'Copa')]"
156.199.129.91,,
37.157.97.73,,
156.204.106.251,,
156.205.132.108,,
156.205.62.66,,
89.132.34.224,,
197.32.1.154,,
156.204.74.167,,
82.238.156.233,6161d,"[(u'6161d', u'vivi', u'79.137.85.74:20100', u'1499008606', u'vivi'), (u'6161d', u'vivi', u'79.137.85.74:20100', u'1498903319', u'vivi'), (u'6161d', u'vivi', u'79.137.85.74:20100', u'1498903022', u'vivi'), (u'6161d', u'Vvivi', u'185.34.216.28:20101', u'1446049368', u'%5BV%5D+vivi'), (u'6161d', u'Vvivi', u'185.34.216.28:20101', u'1446049208', u'%5BV%5D+vivi')]"
41.232.243.226,,
45.241.149.205,470df,[]
86.29.84.192,,
41.41.112.50,,
41.47.166.169,,
85.157.23.46,00a98,"[(u'00a98', u'HaTeDtexxy', u'51.254.35.64:20111', u'1499596921', u'HaTeD+%23+texxy'), (u'00a98', u'HaTeD1v9uknow', u'79.137.85.74:20105', u'1490469186', u'HaTeD+%23+1v9uknow')]"
41.46.234.143,,
187.198.55.70,,
86.87.212.63,19bb6,"[(u'19bb6', u'cLgUnnamedPlayer', u'51.254.35.64:20111', u'1499799000', u'.cLg+%23+UnnamedPlayer'), (u'19bb6', u'oIVIRavL', u'213.32.85.92:20100', u'1499778075', u'oIVI+Ra+%7E+v%2A%10%2A+%7EL'), (u'19bb6', u'oIVIRavL', u'78.47.64.168:20105', u'1497625795', u'oIVI+Ra+%7E+v%2A%10%2A+%7EL'), (u'19bb6', u'oIVIRavL', u'78.47.64.168:20105', u'1497625594', u'oIVI+Ra+%7E+v%2A%10%2A+%7EL'), (u'19bb6', u'RtDteemo', u'78.47.64.168:20104', u'1495488863', u'RtD+%2F%2F%2F+teemo'), (u'19bb6', u'oIVIRavL', u'0.0.0.0:20100', u'1495376026', u'oIVI+Ra+%7E+v%2A%10%2A+%7EL')]"
41.130.134.19,,
77.250.26.3,8186c,"[(u'8186c', u'1fxJoost', u'89.34.97.158:27015', u'1465825614', u'1fx.+%23+Joost'), (u'8186c', u'1fxJoost', u'213.163.68.175:20100', u'1449933723', u'1fx.+%23+Joost')]"
156.205.146.40,,
191.102.84.30,f6ea3,"[(u'f6ea3', u'SyNc', u'51.254.35.64:20111', u'1497910113', u'--SyNc--'), (u'f6ea3', u'SyNc', u'51.254.35.64:20111', u'1497909704', u'--SyNc--'), (u'f6ea3', u'SyNc', u'51.254.35.64:20102', u'1497909199', u'--SyNc--'), (u'f6ea3', u'SCPapa', u'79.137.85.74:20105', u'1488472543', u'%5BSC%5DPapa%21'), (u'f6ea3', u'NsSHyde', u'51.254.35.64:20102', u'1488382107', u'%60NsS+%2F%23%2F+Hyde%2A')]"
188.205.204.25,,
41.237.31.51,,
47.11.10.129,4db03,"[(u'4db03', u'wbgHERO', u'52.57.90.19:20100', u'1495121132', u'wbg+-+HERO'), (u'4db03', u'wbgHERO', u'149.202.63.22:20100', u'1474042698', u'wbg+-+HERO%2A'), (u'4db03', u'wbgHash', u'149.202.63.22:20100', u'1470342564', u'wbg+-+Hash'), (u'4db03', u'SOF2HERO', u'31.186.251.200:20100', u'1467120012', u'%5BSOF2%5DHERO')]"
